Independent,Protestant,Never,Very concerned
Republican,"Orthodox (Eastern, Greek, Russian, Armenian, etc)",Not applicable/Does not have vaginal intercourse/sex,Very concerned
Independent,Protestant,Every time,Very concerned
Republican,Jewish/Judaism,Never,Not very concerned
Republican,Protestant,Never,Not very concerned
Republican,Protestant,Never,Not at all concerned
Democrat,"Catholic, Roman Catholic",Every time,Not very concerned
Republican,"Catholic, Roman Catholic",Once in a while,Somewhat concerned
Independent,Protestant,Never,Somewhat concerned
Republican,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Democrat,Buddhist,Every time,Very concerned
Independent,Protestant,Never,Very concerned
Independent,Protestant,Never,Somewhat concerned
Democrat,Protestant,Never,Not at all concerned
Republican,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
Democrat,Methodist,Every time,Not at all concerned
Independent,"Catholic, Roman Catholic",Never,Not at all concerned
Independent,Protestant,Never,Not very concerned
Republican,Baptist,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Democrat,Unitarian/Universalist,Never,Very concerned
Republican,Protestant,Never,Not at all concerned
Republican,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Every time,Not very concerned
Independent,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Independent,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Democrat,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Democrat,"Catholic, Roman Catholic",Every time,Very concerned
Democrat,Nothing in particular,Every time,Very concerned
Republican,Christian (Just Christian),Refused,Not at all concerned
Independent,Agnostic,Every time,Very concerned
Independent,Nothing in particular,Never,Very concerned
Democrat,Methodist,Never,Not at all concerned
Democrat,Refused,Refused,Somewhat concerned
Independent,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Independent,Nothing in particular,Never,Not at all concerned
Independent,Protestant,Never,Not at all concerned
Independent,Episcopalian or Anglican,Never,Not at all concerned
Republican,Protestant,Not applicable/Does not have vaginal intercourse/sex,Refused
Democrat,"Catholic, Roman Catholic",Never,Not at all concerned
Independent,Nothing in particular,Never,Not at all concerned
Independent,"Catholic, Roman Catholic",Refused,Not very concerned
Republican,Baptist,Every time,Not very concerned
Independent,"Pentecostal (Assemblies of God, Four-Square Gospel)",Every time,Very concerned
Democrat,Refused,Every time,Very concerned
Independent,Episcopalian or Anglican,Never,Not at all concerned
Republican,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Republican,Atheist,Every time,Not very concerned
Independent,Protestant,Every time,Not very concerned
Democrat,Protestant,Never,Very concerned
Democrat,Jewish/Judaism,Refused,Very concerned
Democrat,Nothing in particular,Refused,Very concerned
Democrat,Protestant,Every time,Very concerned
Democrat,Baptist,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Republican,Methodist,Once in a while,Somewhat concerned
Democrat,Baptist,Never,Very concerned
Democrat,Nothing in particular,Never,Not at all concerned
Democrat,Baptist,Never,Very concerned
Republican,Protestant,Never,Not at all concerned
Independent,Protestant,Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
Independent,Other,Never,Very concerned
Independent,Protestant,Never,Not at all concerned
Republican,Protestant,Every time,Very concerned
Independent,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Republican,Christian (Just Christian),Never,Not at all concerned
Independent,Protestant,Never,Not at all concerned
Democrat,Agnostic,Every time,Somewhat concerned
Independent,Lutheran,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
Democrat,Lutheran,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Democrat,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Republican,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Independent,Agnostic,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Independent,Christian (Just Christian),Never,Not at all concerned
Independent,Nothing in particular,Every time,Very concerned
Republican,"Catholic, Roman Catholic",Never,Not at all concerned
Republican,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Democrat,Agnostic,Every time,Very concerned
Democrat,"Catholic, Roman Catholic",Every time,Very concerned
Independent,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Every time,Not at all concerned
Refused,Refused,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Democrat,Jehovah's Witness,Never,Very concerned
Democrat,Atheist,Never,Very concerned
Independent,Nothing in particular,Never,Very concerned
Democrat,Agnostic,Never,Not at all concerned
Independent,Christian (Just Christian),Never,Very concerned
Independent,Nothing in particular,Never,Not at all concerned
Independent,Nothing in particular,Never,Somewhat concerned
Independent,Protestant,Never,Not at all concerned
Democrat,Nothing in particular,Every time,Very concerned
Independent,Christian (Just Christian),Never,Very concerned
Democrat,Agnostic,Never,Not at all concerned
Republican,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Democrat,Non-denominational or Independent Church,Never,Very concerned
Independent,Nothing in particular,Never,Somewhat concerned
Republican,Protestant,Never,Not at all concerned
Democrat,Baptist,Almost every time,Very concerned
Independent,Nothing in particular,Never,Not at all concerned
Democrat,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Very concerned
Independent,Protestant,Every time,Very concerned
Independent,Nothing in particular,Every time,Very concerned
Democrat,"Catholic, Roman Catholic",Never,Very concerned
Independent,Christian (Just Christian),Every time,Not at all concerned
Democrat,"Catholic, Roman Catholic",Every time,Very concerned
Republican,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
Independent,Protestant,Never,Not at all concerned
Don't know,Christian (Just Christian),Never,Not very concerned
Independent,Protestant,Never,Not at all concerned
Refused,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not applicable/don't believe in birth control
Independent,Protestant,Never,Refused
Refused,Refused,Never,Very concerned
Independent,Protestant,Never,Somewhat concerned
Independent,Christian (Just Christian),Every time,Not at all concerned
Refused,Lutheran,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Democrat,Jewish/Judaism,Never,Very concerned
Republican,Protestant,Never,Not at all concerned
Republican,Nothing in particular,Never,Not at all concerned
Independent,Protestant,Never,Not at all concerned
Independent,Protestant,Never,Not at all concerned
Independent,Nothing in particular,Refused,Very concerned
Independent,Refused,Every time,Very concerned
Democrat,Protestant,Never,Not at all concerned
Democrat,Hindu,Every time,Very concerned
Republican,Protestant,Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
Democrat,Protestant,Never,Somewhat concerned
Republican,"Catholic, Roman Catholic",Every time,Not at all concerned
Refused,Baptist,Every time,Not at all concerned
Democrat,Lutheran,Never,Not very concerned
Refused,Christian (Just Christian),Never,Not at all concerned
Independent,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Never,Not very concerned
Democrat,Baptist,Never,Not at all concerned
Independent,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Not applicable/don't believe in birth control
Independent,"Catholic, Roman Catholic",About half the time,Somewhat concerned
Republican,Christian (Just Christian),Never,Not at all concerned
Independent,Atheist,Never,Very concerned
Democrat,Nothing in particular,Almost every time,Very concerned
Democrat,Muslim/Islamic,Almost every time,Not very concerned
Independent,"Catholic, Roman Catholic",Never,Not at all concerned
Democrat,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Independent,Nothing in particular,Never,Not at all concerned
Independent,Nothing in particular,Refused,Not at all concerned
Republican,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Republican,"Catholic, Roman Catholic",Never,Not at all concerned
Democrat,Agnostic,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Independent,Lutheran,Never,Not at all concerned
Independent,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Republican,"Catholic, Roman Catholic",Never,Very concerned
Democrat,Atheist,About half the time,Very concerned
Democrat,Atheist,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Independent,Nothing in particular,Never,Not at all concerned
Independent,Baptist,Never,Not at all concerned
Democrat,"Catholic, Roman Catholic",Never,Somewhat concerned
Republican,Nothing in particular,Never,Not at all concerned
Democrat,Protestant,Never,Very concerned
Independent,"Catholic, Roman Catholic",Every time,Not at all concerned
Independent,Muslim/Islamic,Never,Very concerned
Democrat,"Catholic, Roman Catholic",Never,Not applicable/don't believe in birth control
Independent,"Catholic, Roman Catholic",Every time,Very concerned
Democrat,Christian (Just Christian),Almost every time,Very concerned
Republican,Other,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
Refused,"Catholic, Roman Catholic",Every time,Don't know
Republican,"Catholic, Roman Catholic",Never,Not very concerned
Independent,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
Democrat,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Very concerned
Republican,"Catholic, Roman Catholic",Never,Not at all concerned
Democrat,Jewish/Judaism,Never,Somewhat concerned
Democrat,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
Independent,Baptist,About half the time,Not at all concerned
Republican,Protestant,Never,Not at all concerned
Republican,"Catholic, Roman Catholic",Never,Not at all concerned
Independent,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Democrat,Nothing in particular,Never,Very concerned
Republican,Protestant,Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
Democrat,Christian (Just Christian),Never,Not at all concerned
Republican,Methodist,Never,Not at all concerned
Democrat,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Democrat,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Independent,"Catholic, Roman Catholic",Never,Somewhat concerned
Republican,Christian (Just Christian),Never,Not at all concerned
Republican,"Pentecostal (Assemblies of God, Four-Square Gospel)",Never,Not at all concerned
Republican,"Catholic, Roman Catholic",Never,Not at all concerned
Democrat,Baptist,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Democrat,"Catholic, Roman Catholic",Never,Very concerned
Democrat,Jewish/Judaism,Never,Very concerned
Democrat,Nothing in particular,Never,Very concerned
Democrat,Protestant,Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
Independent,Nothing in particular,Every time,Not at all concerned
Independent,Hindu,Never,Not at all concerned
Democrat,"Catholic, Roman Catholic",Never,Somewhat concerned
Republican,Protestant,Never,Not at all concerned
Independent,Jewish/Judaism,Never,Not at all concerned
Independent,"Catholic, Roman Catholic",Never,Not at all concerned
Democrat,"Catholic, Roman Catholic",Refused,Somewhat concerned
Republican,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Independent,Protestant,Every time,Very concerned
Democrat,Nothing in particular,Every time,Very concerned
Independent,Protestant,Never,Somewhat concerned
Independent,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Independent,Jewish/Judaism,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Democrat,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Very concerned
Independent,"Church of Christ, or Disciples of Christ (Christian Church)",Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Republican,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Independent,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Not very concerned
Democrat,"Catholic, Roman Catholic",Refused,Very concerned
Independent,Church of God,Never,Very concerned
Republican,Lutheran,Never,Not at all concerned
Independent,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Independent,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Very concerned
Republican,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Republican,Protestant,Never,Not at all concerned
Democrat,Atheist,Every time,Very concerned
Independent,Agnostic,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
Democrat,"Catholic, Roman Catholic",Never,Very concerned
Refused,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Democrat,"Catholic, Roman Catholic",Never,Very concerned
Republican,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
Republican,"Catholic, Roman Catholic",Never,Very concerned
Democrat,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Very concerned
Democrat,Baptist,Never,Very concerned
Democrat,Nothing in particular,Every time,Not at all concerned
Democrat,Baptist,Once in a while,Not at all concerned
Republican,Nothing in particular,Never,Not at all concerned
Republican,Protestant,Never,Very concerned
Democrat,Nothing in particular,Every time,Somewhat concerned
Democrat,Muslim/Islamic,Never,Not very concerned
Democrat,Atheist,Never,Very concerned
Independent,Nothing in particular,Every time,Not very concerned
Independent,"Catholic, Roman Catholic",Every time,Somewhat concerned
Democrat,Baptist,Every time,Very concerned
Democrat,"Catholic, Roman Catholic",Never,Very concerned
Independent,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
Democrat,Protestant,Never,Not at all concerned
Independent,"Catholic, Roman Catholic",Never,Not very concerned
Independent,"Catholic, Roman Catholic",Never,Not at all concerned
Independent,Protestant,Never,Not at all concerned
Independent,"Catholic, Roman Catholic",Never,Very concerned
Democrat,"Catholic, Roman Catholic",Never,Somewhat concerned
Independent,Protestant,Never,Not at all concerned
Democrat,Nothing in particular,Every time,Very concerned
Republican,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Never,Not at all concerned
Independent,Protestant,Almost every time,Very concerned
Independent,Protestant,Never,Not at all concerned
Independent,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
Democrat,Buddhist,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Refused,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Independent,"Catholic, Roman Catholic",Never,Not at all concerned
Republican,Protestant,Never,Not at all concerned
Democrat,Nothing in particular,Every time,Not at all concerned
Democrat,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Democrat,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Very concerned
Independent,Christian (Just Christian),Refused,Not very concerned
Democrat,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Very concerned
Refused,Lutheran,Not applicable/Does not have vaginal intercourse/sex,Not applicable/don't believe in birth control
Independent,Protestant,Never,Not at all concerned
Democrat,Protestant,Once in a while,Not very concerned
Republican,Lutheran,Never,Very concerned
Don't know,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Republican,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Not applicable/don't believe in birth control
Democrat,Christian (Just Christian),Never,Not very concerned
Democrat,"Pentecostal (Assemblies of God, Four-Square Gospel)",Never,Somewhat concerned
Democrat,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Very concerned
Refused,"Catholic, Roman Catholic",Refused,Very concerned
Republican,"Catholic, Roman Catholic",Every time,Somewhat concerned
Republican,Christian (Just Christian),Never,Very concerned
Democrat,Protestant,Once in a while,Not very concerned
Democrat,"Catholic, Roman Catholic",Never,Very concerned
Independent,Protestant,Never,Not very concerned
Republican,Protestant,Never,Not at all concerned
Republican,Nothing in particular,Every time,Not at all concerned
Republican,"Church of Christ, or Disciples of Christ (Christian Church)",Never,Not at all concerned
Republican,Protestant,Never,Not at all concerned
Republican,Methodist,Never,Not at all concerned
Independent,Nothing in particular,Every time,Somewhat concerned
Republican,Protestant,Never,Not at all concerned
Republican,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Republican,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
Democrat,Protestant,Never,Not at all concerned
Independent,Nothing in particular,Never,Somewhat concerned
Democrat,"Catholic, Roman Catholic",Never,Not at all concerned
Democrat,Protestant,Never,Very concerned
Republican,Christian (Just Christian),Never,Not at all concerned
Democrat,Protestant,Never,Very concerned
Democrat,Protestant,Never,Very concerned
Republican,Christian (Just Christian),Never,Not at all concerned
Democrat,Nothing in particular,Never,Very concerned
Democrat,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Not very concerned
Democrat,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Democrat,Nothing in particular,Never,Very concerned
Refused,"Catholic, Roman Catholic",Never,Very concerned
Republican,Atheist,Never,Not at all concerned
Democrat,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
Democrat,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Not applicable/don't believe in birth control
Democrat,"Catholic, Roman Catholic",Never,Very concerned
Independent,Protestant,Never,Not very concerned
Independent,"Pentecostal (Assemblies of God, Four-Square Gospel)",Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
Independent,Protestant,Every time,Somewhat concerned
Republican,Baptist,Never,Not at all concerned
Democrat,Protestant,Every time,Very concerned
Refused,Refused,Never,Not at all concerned
Republican,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Republican,"Catholic, Roman Catholic",Never,Not at all concerned
Democrat,Jewish/Judaism,Never,Not at all concerned
Democrat,Protestant,Every time,Not very concerned
Democrat,Presbyterian,Never,Very concerned
Republican,Lutheran,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
Democrat,Baptist,Never,Not at all concerned
Independent,"Catholic, Roman Catholic",Never,Very concerned
Republican,Protestant,Never,Somewhat concerned
Democrat,"Catholic, Roman Catholic",Never,Very concerned
Republican,"Catholic, Roman Catholic",Never,Not very concerned
Independent,Nothing in particular,Almost every time,Somewhat concerned
Democrat,Jewish/Judaism,Never,Very concerned
Democrat,Protestant,Every time,Very concerned
Independent,Nothing in particular,Never,Somewhat concerned
Democrat,Nothing in particular,Every time,Not at all concerned
Democrat,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
Republican,Refused,Every time,Not at all concerned
Republican,Protestant,Never,Not at all concerned
Democrat,Christian (Just Christian),Every time,Not at all concerned
Democrat,"Catholic, Roman Catholic",Every time,Very concerned
Democrat,Christian (Just Christian),Once in a while,Not very concerned
Independent,Agnostic,Never,Very concerned
Republican,Protestant,Never,Not at all concerned
Independent,Protestant,Once in a while,Somewhat concerned
Democrat,Christian (Just Christian),Almost every time,Not very concerned
Independent,Nothing in particular,Almost every time,Not very concerned
Independent,"Catholic, Roman Catholic",Never,Not at all concerned
